1|Q-Market Huitsinnevada
2|Pakkomyynti Oy
3|Vähänvälitystoimisto Virtanen Oy
4|Ö-market Tötteröjärvi
5|Silmälasiliike Opsis
6|Tutkimusinstituutti Huuhaa
7|Vaivaisten terveysklinikka
8|SuperHyperFashion
9|Heart Disease Burger
10|Tanssiravintola Humppaa taikka kuole
11|Bisnes- ja pankkihuijarit Oy
12|Avotoimistohässäkkä Oy 92
13|Avotoimistohässäkkä Oy 62
14|Avotoimistohässäkkä Oy 24
15|Avotoimistohässäkkä Oy 35
16|Avotoimistohässäkkä Oy 10
17|Avotoimistohässäkkä Oy 40
18|Avotoimistohässäkkä Oy 55
19|Avotoimistohässäkkä Oy 69
20|Avotoimistohässäkkä Oy 64
21|Avotoimistohässäkkä Oy 92
22|Avotoimistohässäkkä Oy 54
23|Avotoimistohässäkkä Oy 58
24|Avotoimistohässäkkä Oy 4
25|Yritys
26|Firma
27|Oy
28|Ruotsalainen muotiliike
29|Höpöhöpö
30|Parturiliike Oy
